@relation i05
@attribute i1 real
@attribute i2 real
@attribute i3 real
@attribute i4 real
@attribute i5 real
@attribute class {999}
@data
43.5733654539,649.150342552,836.208249462,572.105334794,252.840424942,999
54.5847303562,659.602144996,490.112854456,557.182300871,246.967552222,999
44.9934868981,645.960889135,461.178592328,504.209455797,240.900178509,999
46.5339883039,644.41572261,481.614555629,524.398102576,254.092373358,999
43.909488324,643.669257858,660.97209879,510.460956566,238.748228013,999
45.8666167349,660.352793895,903.874089903,558.445216255,255.54688976,999
52.8219308247,651.134988751,776.898172744,515.541579893,246.597245641,999
46.4793588596,654.01632346,562.32672512,580.414285337,252.069381808,999
46.0821218042,657.290724842,440.508904091,573.619511956,251.056240677,999
48.0490171486,655.372867765,786.623975589,562.380157215,240.930214645,999
44.5249100962,648.009590717,784.274438281,506.812852307,252.870934142,999
41.4599601644,651.229377043,197.541437034,503.470129548,250.390034526,999
50.7926988684,655.314229128,288.98646866,506.616048334,248.301757608,999
51.5530894726,660.614553707,656.957758031,514.456389819,254.764031097,999
52.1780221516,658.739996698,594.279258711,576.936173981,253.658543339,999
52.2975741921,654.021945521,96.5805686693,570.515607477,243.045717402,999
45.617228379,657.644464,12.0719915271,585.578257767,246.036445405,999
56.6291680278,663.211377499,449.634552833,523.274237454,249.302939651,999
48.9589565911,662.720597684,835.211132457,566.681984153,243.41123855,999
55.4645248011,654.018739508,430.12240675,583.092683005,251.272582968,999
51.472635892,662.99716989,367.012515571,580.203725524,251.447247977,999
46.6267148809,656.676306878,364.905914357,584.824251861,255.172671409,999
46.6356895661,656.100862131,941.961825049,511.057549292,252.850569357,999
57.492349169,657.188717592,454.330604795,508.268921373,250.221208719,999
55.6911184218,654.339260679,832.36161338,572.484057617,251.243053766,999
49.0190499527,654.33262196,680.880567029,584.043818004,249.409338199,999
49.7904537586,659.082114753,875.383323735,591.748512633,250.6936894,999
48.3580004582,664.615795755,786.597601808,505.536072056,252.186044058,999
49.6043633767,663.052954635,562.328325303,582.298090895,249.533104631,999
52.9909629686,656.904767385,184.525622625,508.402049823,259.779297733,999
53.2291057044,660.97367757,525.319368517,530.012193551,259.429854943,999
50.7960758613,655.247271127,668.943620541,554.818586551,260.014136695,999
51.7096826506,650.036425328,364.429233753,578.812126333,255.247107606,999
51.9264409575,654.963497669,551.842158487,513.697609734,252.667274364,999
50.4126696486,657.490472647,851.767919911,585.974807683,257.93739059,999
48.9681164335,658.279517841,267.763972135,510.726019136,256.556017859,999
53.4376246044,659.264300124,93.0220148501,506.436647481,249.816459943,999
53.8792467039,657.85921287,887.760494715,530.875255289,245.688187423,999
45.2669765542,661.309733786,21.1446609575,505.801637936,258.406734339,999
51.4665239942,661.469432122,351.510126418,515.235370624,262.621172295,999
49.7438876009,658.531094121,329.403893769,524.335719052,255.289525032,999
50.0973053873,665.896068878,110.824347194,562.542903452,260.36305226,999
53.4575945556,659.705880287,156.738389456,532.235540188,245.210270372,999
45.6389372056,660.990720883,511.148879541,561.976591296,262.288927949,999
52.7009649717,647.612615929,148.748156219,534.656330341,259.340817711,999
51.1193114229,667.502886427,759.390933763,522.050504649,254.686467453,999
54.2221938025,648.749425878,282.434737199,566.54095579,243.278268271,999
43.1941602243,648.44089379,159.810425959,584.352991886,247.892290996,999
53.4588027626,652.94608411,15.143313261,548.718959647,254.400000112,999
38.170198901,657.274886345,652.263063834,566.181660322,258.555814408,999
38.8107309288,656.386016492,919.949039619,575.751257179,260.783972848,999
47.3455319318,655.153552763,390.883392231,522.398730378,263.901619742,999
46.7209851122,656.296535945,441.600978039,510.93109535,255.899806119,999
46.4497639445,659.963564353,881.127670215,555.724806819,259.661967033,999
40.22616113,662.755605175,352.628483682,565.848711762,245.179816095,999
47.6923629786,667.855601569,705.368129678,569.142371335,256.738903702,999
39.0827751753,663.935720302,266.785579787,558.009060387,257.26382175,999
43.373315117,669.460745679,623.805773226,563.603359815,259.191681897,999
44.0821475144,657.416032989,728.605254615,597.004506554,246.714729506,999
38.7226026527,656.771809575,909.682353477,589.821500913,251.363930928,999
37.5540615185,644.206301774,258.128930618,578.309890477,247.956200253,999
35.3817707123,644.784341939,147.794671218,572.0093703,245.707562784,999
43.988073901,643.966203597,523.273995636,494.803032391,250.293264042,999
43.2932954809,648.263170994,933.415967898,566.673963347,239.66684473,999
39.9056712665,645.394301422,487.492419527,535.58295059,237.700920122,999
50.9637094611,658.381773132,698.190650944,531.284560548,258.070083538,999
45.1593646181,663.992182387,309.134872721,577.411619527,263.423567779,999
42.7392099959,663.128487014,5.37297328426,562.139942965,254.320042194,999
40.3607570513,640.965468737,345.384840536,585.557027299,241.432201416,999
44.8829473195,649.181038842,755.187844803,487.574038216,247.159131238,999
40.9095643324,649.439859731,945.051168557,498.015613245,253.066493019,999
57.4978176243,663.509985113,28.0793250115,523.22560714,255.746724704,999
53.6520711591,670.869036656,257.875851312,569.953012633,258.164387705,999
33.4215773418,651.641564017,407.157904392,569.156552446,264.320854618,999
49.1518013592,653.125246214,826.746072913,514.993490589,258.045677403,999
47.8641726999,655.166528481,753.859131744,604.084109981,253.31270969,999
42.9542985317,650.746586029,706.880196163,602.957890779,253.019074411,999
38.913166097,650.764694494,819.596973562,569.347410708,245.283255505,999
47.8193916722,641.347483952,62.1643160429,500.304663729,246.370624865,999
38.7107206179,650.969464876,638.0221497,526.583307183,240.270605657,999
46.7888633536,647.810058706,217.833257088,530.359992317,241.651792957,999
44.0661640777,646.210444366,462.835492113,528.238274676,243.192955411,999
45.2433023008,641.875530113,37.1004445119,535.999481131,242.531837421,999
46.2284810289,671.018480471,505.554728601,527.214136977,257.997964447,999
59.4747230378,642.05040653,601.839453901,562.499028196,242.476532105,999
56.2406079209,650.29939326,554.261616145,558.863293502,264.626410812,999
49.825520859,670.955266774,951.754750746,562.247760061,254.290792765,999
39.3245270617,661.511617,716.984641811,581.507186325,254.068264629,999
32.6197225508,662.930385487,73.3460326684,583.46573674,257.540503589,999
46.2016378661,656.778952361,70.7602633873,516.585406999,269.79705445,999
40.1953805547,652.082531666,892.81055059,604.58259434,245.035585583,999
39.3940268359,650.915072464,122.507503067,596.211345238,241.204032678,999
36.8994981684,640.696186895,668.086036982,573.136825932,252.146423289,999
39.3248010597,649.136622565,707.794082626,498.124730692,245.626296532,999
49.2084704996,651.297711217,49.0992066109,565.06620249,264.376599339,999
61.1631657345,662.691650043,409.270340838,547.967766289,249.135933774,999
43.4679720657,664.175946111,176.701096627,558.756891305,251.813510577,999
47.5945827838,649.756147633,728.108966505,539.717624868,242.000592458,999
50.0,650.0,0.0,0.0,250.0,999
46.736639532,660.0184139,551.146525905,641.552870624,248.463763032,999
52.8227208484,667.875705174,950.768423218,988.355570389,243.798878337,999
56.9750276966,656.440942968,134.671825862,995.732206844,256.982422561,999
51.3350230832,648.481342119,727.785099761,958.837956945,248.174276682,999
58.0428288387,656.213176053,805.252677692,329.162865243,244.028816471,999
47.1118556666,640.292215697,197.320723104,963.350237721,235.234838988,999
38.8656990513,659.660244168,852.270721449,597.429553977,256.933009181,999
49.4909612571,644.82900453,618.230669968,564.325912646,251.43254362,999
52.3966330659,649.533678451,657.153186246,408.440325856,254.62235941,999
46.7344788931,654.826657646,795.113910665,84.5350950597,246.129089605,999
49.6490358207,662.810303322,818.185640194,974.346338249,271.367670642,999
52.789008795,663.774634797,955.655412834,72.4791951617,265.206024142,999
49.7924037616,669.466927028,665.954222036,188.974959895,269.46025551,999
55.2252659193,664.840464868,395.35179144,6.6516048928,270.256630881,999
57.2190755222,669.744391674,679.517605143,888.285241667,269.271368118,999
56.3724446883,670.379011466,110.42289262,153.502144969,266.750603858,999
51.4884389303,666.925856041,470.383153612,68.544058693,270.309841438,999
46.272010617,666.082823736,464.884052942,713.651676382,263.862799905,999
56.9367661286,665.327278244,324.586354019,379.685044537,276.167751934,999
54.5354190249,668.8171275,661.903226636,161.905840077,260.665360386,999
49.8961710395,665.915451649,918.118535867,579.374544471,279.527917787,999
44.1659862982,658.640884698,261.528858533,456.128055989,278.478452584,999
51.3923948284,658.000493635,238.966741139,434.266583763,279.408215367,999
56.8864637665,658.836109185,360.026258685,812.602266609,278.621763707,999
46.5803695383,655.301713399,606.793373254,584.117423768,285.526483258,999
38.6203913,652.57963491,65.5346556658,0.793395777971,281.559173146,999
43.4634648003,652.05743389,149.344260145,481.174266352,281.243432354,999
39.7672085382,652.235075701,595.562828021,43.1661720672,288.626151892,999
44.2111785849,648.294620648,290.166291268,898.471710788,282.8032648,999
34.393634496,647.206296342,489.201021197,972.668873784,285.552761363,999
41.2562899896,661.714510479,293.852626543,578.522640574,282.695336946,999
41.3014624594,642.001195957,227.948778626,113.607946958,287.587679617,999
41.977901791,642.149827833,757.153376199,205.617898066,283.186608179,999
38.4636124259,644.004905187,598.355600908,140.435265443,292.29724959,999
37.1264432591,640.068760868,241.865866377,703.304003993,283.071917614,999
39.7169885065,638.654557933,696.571912536,895.819148535,278.25064881,999
41.6836033482,636.451929205,553.543841659,820.62556011,279.145687718,999
41.7174186035,645.241497359,241.754278127,304.888147324,278.328725147,999
44.3924904437,638.862818698,126.540073393,845.809566916,293.394560691,999
42.0242357431,641.484473541,831.45928844,784.030369322,284.222680021,999
42.9564422672,639.17930114,647.146278405,70.5487579079,283.502640849,999
50.4505811394,653.456995054,895.861901899,36.2003494036,273.309693012,999
59.6848386715,661.83321309,200.267753999,615.060986572,272.631416266,999
47.3426764683,653.468090109,962.99289515,326.439628357,291.325746352,999
43.6199862302,655.796410433,936.920025662,845.84939808,292.707624939,999
43.4054735709,648.082069543,828.526833745,860.49285187,273.918778098,999
42.4100229676,641.732922003,552.676020665,303.777356753,299.981700987,999
45.9000849251,635.919804583,328.843404379,755.645213978,299.935467216,999
47.6270124242,637.467518412,16.4116903737,448.505607526,294.586545108,999
41.8433607029,635.512411549,370.661100805,641.069114836,296.965925273,999
38.6701072425,640.941010361,881.96059519,538.223094639,296.025938576,999
44.1220403358,648.17415379,684.632012847,182.00063416,287.716499947,999
48.5363175068,639.353091052,772.412182781,473.896488108,307.062596921,999
52.5440407498,638.868831484,335.319835498,854.884289618,302.171721121,999
51.7495522333,638.641419059,548.410846725,176.906598753,305.461657269,999
47.6273598627,634.6754763,592.001354651,946.748472054,302.723920475,999
47.9217926568,643.129944325,348.786854248,484.487175306,301.438942201,999
43.5472057879,642.345042024,876.002933587,100.850142683,294.404976954,999
46.7466609139,638.889356599,233.957493263,246.104269149,297.515344461,999
48.5101368957,630.299338719,351.05611073,26.3483351128,304.101572772,999
51.2539497572,635.966666449,964.071488279,64.4689064572,290.414503599,999
41.7623898395,649.292705352,909.481384745,155.519089303,285.339586097,999
45.209042304,652.786999447,746.029183339,378.922812398,297.825327711,999
49.2743841019,659.090346389,121.173740804,319.22893518,295.781503252,999
52.0085041352,648.778916514,455.680978173,560.994721101,292.825850545,999
44.4142403888,657.221415668,72.8679613887,348.807235371,291.678526072,999
44.5294528191,650.849358271,575.7760652,689.102640138,293.79994545,999
45.763080959,645.90160742,418.535828443,505.821668673,295.000750819,999
46.3609335056,646.475741772,658.578305861,743.796904905,296.699186939,999
52.1680848472,656.753409925,135.715606312,749.901183508,289.241599851,999
44.9358811623,670.444394382,837.872340859,160.322040547,283.506957477,999
45.2911726905,665.423244838,333.058414474,616.229046143,291.141956812,999
54.8412659356,654.526046102,662.015210623,67.0386015666,283.658427873,999
60.0784599727,665.143672974,475.000219572,621.181534302,281.670179457,999
57.4553351995,662.747593631,585.647044425,91.9967089846,285.059255507,999
60.4542890484,659.439273143,443.154429176,540.882132864,288.186206615,999
58.2949237272,658.181387187,423.987878592,781.410686912,283.351320239,999
58.2726471688,663.710640807,852.001801865,530.356184291,287.443966644,999
46.2191228955,664.395997023,695.861905481,195.007134943,284.920099792,999
43.144124272,662.518643636,668.154527158,486.214638854,288.174081748,999
49.6130533159,656.451947939,223.903646588,111.695407473,286.634073824,999
46.1603184964,674.878931588,287.815246434,35.070083811,288.862298912,999
40.8631948674,675.53738293,185.516287452,671.764303734,288.63212014,999
47.3944656324,679.548175044,559.093859613,32.9003670689,289.414117358,999
51.5092795169,674.133237804,787.803245797,429.232955927,282.929694884,999
41.8163101528,676.413531217,106.701767481,599.603783035,283.168273269,999
40.7447315688,676.636275121,894.081537136,536.34013618,284.857393552,999
62.7654444275,664.167207953,802.226145897,524.630551473,281.666440925,999
51.7279699164,666.406645792,559.593696573,311.621749218,283.336081989,999
54.5056748972,676.351024381,602.058762177,115.360094414,283.421402578,999
46.2743127644,678.834361059,292.699501807,707.630294783,295.413932784,999
45.4692583443,675.182148321,219.12409229,313.985879398,296.435485205,999
45.1349173056,684.441383695,370.224480573,11.9347181634,300.481706293,999
33.3612173952,672.583163168,396.270173403,818.0498276,286.432144977,999
35.1960712735,671.237051802,428.37745491,709.280814403,283.570895238,999
50.1047111933,680.055230728,829.224699069,117.941784392,279.561764891,999
51.6531430355,672.367164985,490.162699066,954.458874274,278.349304775,999
58.7407897445,672.490962,934.986622277,722.108355157,277.785684269,999
53.8597711281,680.397819516,741.902989137,347.254952629,301.168700507,999
48.2114224455,679.790263818,647.595680945,119.571315801,294.760547785,999
47.5735465485,683.239463028,141.461305163,12.372395932,292.258074469,999
53.8108928747,683.74862594,30.8729310801,79.0178219445,294.422383432,999
43.9453693506,680.876060668,29.0755772775,621.941121995,301.950674046,999
41.3187578024,684.034979387,977.462142135,426.416030079,291.229345408,999
44.0732629362,672.098962088,289.800175284,620.12315827,289.939724907,999
29.2192445448,678.040831904,844.160997174,969.527054636,279.50024988,999
28.3985325607,679.625172208,166.640265438,197.098369657,284.463554119,999
26.6631487811,682.563940599,346.079622361,981.925508266,285.009852223,999
25.0591396986,677.819654369,481.671047545,546.670858885,279.4814721,999
22.577083387,675.084163927,340.83890115,914.132915163,283.643689859,999
20.5696555866,683.328908115,60.1216324717,978.55433305,285.776869862,999
36.155852549,684.253967064,446.444539663,655.124708951,286.665678903,999
30.9159495783,673.003026022,428.732159722,531.483099155,275.285026725,999
34.4922915939,674.378834148,991.971986246,343.563832917,281.721624508,999
29.4624144104,681.541128059,91.5979355516,416.384579878,285.360750931,999
34.1365038384,665.953502934,984.34200371,623.429083737,282.371279862,999
33.058488619,681.226749806,821.46028314,926.178745475,285.632133951,999
23.5042006514,671.819535006,259.52859963,317.648576276,275.809273654,999
28.6168135578,670.721102871,202.994764538,996.627343437,282.947623698,999
38.0859053393,675.853947384,36.6382920239,445.267981277,277.912816184,999
32.0869127901,653.749492751,988.577290265,685.507603385,291.714086278,999
26.6829884034,653.249062851,662.144084369,176.590706356,283.608300403,999
23.624620565,650.398413936,842.684793161,513.06305367,291.274452808,999
36.8383475994,649.97556269,774.846342419,103.961196032,273.075763719,999
45.7430250187,635.715688324,499.305108754,559.9211944,298.48560451,999
54.8822846118,642.384069473,777.147589379,110.98011976,286.540337614,999
46.6983098861,635.983852877,393.397777877,237.97043811,285.655699404,999
55.1021657089,629.999377994,221.896287003,81.7050747893,296.56531774,999
57.6390337891,683.785912579,481.404456742,407.829610885,280.443269163,999
54.5120989714,676.75276366,843.195740789,433.197198593,273.436982946,999
47.7901812987,687.283177771,152.982761502,299.671936301,283.907540532,999
58.2739935464,683.229023048,496.676963389,997.967753832,297.534063197,999
59.8327318696,685.641356257,317.852556715,374.58619943,300.720005704,999
39.6397192105,683.77209993,584.388465899,338.773843636,296.140324037,999
38.6745923356,676.850382521,420.298791081,711.901356669,304.786552258,999
15.651128854,675.563285895,525.915521564,74.9812367858,289.197865537,999
16.7154611771,675.248963753,835.38923748,346.85851702,288.973967754,999
30.0744770019,672.823617305,781.847529595,496.845363866,279.926850587,999
20.5461466472,666.799879066,353.845224668,70.8779459587,282.054294025,999
26.1183126097,655.480741812,969.782765663,857.648176268,284.166749184,999
20.7810088201,651.243181532,499.549320857,632.214671277,283.939976047,999
20.6253856636,652.630052833,392.845291199,468.886536724,288.456553036,999
24.9637145663,658.791049069,590.231415984,228.659404621,287.284949284,999
20.7354032761,652.484285368,714.546700956,469.776913939,298.754569218,999
39.0592871733,657.923413376,338.919176392,84.8861823006,285.870396183,999
561.456019499,155.333603906,50.6110207251,643.228976366,547.324502882,999
556.9503067,158.141711582,54.6030055765,648.777170144,543.542652314,999
677.191413424,153.95874419,53.5769947429,647.781479246,541.329397875,999
530.883966214,161.022064675,52.357299576,644.51206844,537.00765073,999
499.65256498,152.899116208,58.0117006007,644.924406852,549.543845193,999
864.530689089,156.291941942,48.544274453,642.163028844,544.167597501,999
423.706167317,159.787013447,56.2541548688,648.997838095,545.330050843,999
100.90288758,162.870060487,47.9737200083,647.48667537,553.0021785,999
51.2174247583,161.436836395,47.1956238048,644.683822553,536.385782927,999
185.496891834,160.255822247,47.8890727794,653.80700697,537.856056873,999
524.366262956,151.815552026,47.0572246706,648.411561616,555.261833246,999
393.841622261,149.836287215,53.5931889724,640.857696436,543.603438354,999
543.484335385,158.275343947,43.9415947665,650.008955999,545.800554401,999
7.70358308493,157.896030167,50.5725823458,642.880224621,547.10193541,999
709.718031714,149.112711449,55.4174729603,639.905150485,546.02979292,999
339.727932942,163.697526134,49.4737066889,641.450969045,531.074877319,999
884.19576518,157.237910954,58.1341631011,638.692647132,531.664437373,999
293.35275034,155.607792271,49.8014302596,646.566551679,534.788984552,999
74.0164737404,149.126181828,53.3842191099,645.783327399,553.772823063,999
186.063927458,155.819178919,48.7509864329,638.27928131,523.006935738,999
897.960359522,157.769536308,48.6744056421,644.303951322,539.90866306,999
915.653310528,151.499994219,54.510579254,641.292167626,539.220714798,999
638.378329544,158.676344765,53.4792056401,643.4114785,522.823209193,999
550.515006132,160.014192625,51.8306528019,642.992577265,530.041134945,999
666.422657163,151.769430613,59.4850533649,641.077835117,536.792316384,999
880.255939832,160.203687665,45.9397733683,644.814806993,529.756036816,999
17.5761436589,167.621973419,50.853215295,648.948053319,541.084653948,999
846.896903789,159.067413645,54.136356452,642.636172177,515.248343837,999
405.909787245,159.152210216,54.5226334916,641.867063093,515.184321629,999
423.305251085,160.829906725,52.8997530931,633.532087802,536.363356805,999
407.230880813,150.883282383,50.1403093306,634.578495189,536.831681579,999
485.526667177,154.801217978,55.702297811,637.53924147,518.788823682,999
164.619787764,162.69615971,51.1074517633,637.089411187,520.000739634,999
986.528389581,167.20168277,44.3114899989,641.772717089,562.295614797,999
447.71776521,165.303923066,47.6474896466,643.873696257,535.975719597,999
150.516612695,168.017371912,43.8641819714,651.929117362,560.033601436,999
805.086476146,170.535461119,50.7697079842,645.838564705,527.495933606,999
324.751077417,154.945884016,42.5733313924,644.240557576,552.312998426,999
40.8857563553,168.079409846,45.9276163513,653.300163604,553.538718982,999
760.936375244,157.278259826,46.1220656011,652.489930625,561.110085498,999
839.417899925,169.739499895,46.9053286353,646.654552392,551.533047987,999
240.628022939,169.512003527,47.7005793852,636.72404575,552.821677649,999
798.301292993,173.224080866,51.2814089785,640.743997685,567.619844984,999
474.227146227,176.100668501,51.3622156213,640.565913616,529.632665459,999
406.595419647,171.54829443,53.1467323916,640.069268167,536.566032619,999
132.019230198,170.044102,46.368933671,645.950785984,571.047383491,999
473.484664863,171.468673386,47.0503505021,644.284080915,527.946321854,999
276.092553888,171.674595823,49.3763165966,643.024498173,544.795691621,999
765.49264769,169.857520038,54.2319636112,636.939565733,527.853501562,999
733.853963079,167.304950714,50.700276367,642.544077534,562.235189675,999
925.604421303,173.178594364,44.7604788878,641.789877834,546.126659877,999
959.398649773,163.386249307,46.6794631052,648.583807637,567.107779761,999
615.708324748,174.828745356,44.0313857623,641.192791591,552.750699256,999
254.147377817,174.57657051,51.1484535624,650.344164439,549.249011913,999
163.09962247,171.813712114,53.1391097865,645.157773553,538.550201394,999
137.04888831,171.932350476,45.7591751511,653.815023433,539.425729544,999
449.054103087,175.567937541,46.628199724,642.65951985,574.376946271,999
324.218392856,176.573878265,45.8309285178,644.56020003,576.109199097,999
760.247674329,174.171006037,45.7084239008,646.776387515,533.256179112,999
46.7844991454,169.212116089,47.5029185365,648.18223086,550.410806216,999
448.66118789,173.819977786,48.7112490883,635.762554667,578.136856071,999
184.727376846,164.495305176,46.3199476476,636.709401475,567.733488248,999
340.108299502,171.449455396,39.4049014954,638.049306494,565.738903234,999
501.044629133,164.658091914,44.2119015884,643.478249168,559.457303507,999
619.622159649,169.973066873,50.2383768445,641.733071944,567.116636203,999
791.525205661,161.873904236,41.4064238577,646.523464521,556.352475229,999
911.948138741,168.447737754,56.6180900188,643.963494648,571.07603212,999
46.7558250308,170.775152428,44.9328318972,648.553830546,573.640119917,999
386.848706647,173.19792937,49.9674444297,642.608421554,571.314613496,999
498.807799265,162.801454377,40.0810456224,645.233349233,570.72855038,999
661.95586333,171.469796138,53.5907187197,635.206706534,528.788490779,999
276.090552186,169.977741863,43.5459461737,642.045243681,582.888906681,999
903.87146343,176.593502999,44.34071658,646.978609142,545.862712229,999
374.655275926,163.080974224,46.0600121249,633.960667297,534.106541251,999
614.34264012,162.449148082,41.4680934971,651.063323661,561.0022043,999
527.780933317,175.251164419,43.0432191818,640.162969898,572.410411882,999
655.938359333,163.569902577,59.0889942659,639.081743269,520.881877818,999
899.379510627,175.017605129,42.0042784083,649.118901563,529.557859955,999
36.1190711219,173.487772049,42.4005179357,636.968948573,564.796281358,999
774.517577599,177.708358372,52.739285216,644.299708413,567.567361156,999
940.494349083,170.537043033,45.7141307141,639.765752866,536.409153287,999
9.00480831121,155.60071845,51.162359063,634.885584562,515.812468819,999
586.330928203,175.207530748,55.3383186259,651.322762919,528.327907108,999
78.1422712342,165.272295203,45.7942956196,633.023250644,570.235367542,999
81.4914381067,158.648940546,45.4233148319,632.415120903,528.131425407,999
867.513886169,165.788003219,49.9702774569,637.094546955,576.156572687,999
284.134485156,164.108856411,41.1406972516,656.311720544,558.596288039,999
606.028987601,169.380770403,41.2643077937,657.629233467,568.862495861,999
265.371966916,172.336221768,49.7331823048,658.940324552,551.593753441,999
803.102978544,171.707886637,52.463761653,657.686851527,546.000872383,999
256.487711089,164.623776393,52.9874055685,640.402993266,535.167002784,999
479.981910523,175.116368668,51.7099752616,631.008165313,556.042911936,999
342.975071249,173.380899946,41.9892622972,631.06895138,558.726698228,999
14.2248827242,177.675875721,47.2276785668,645.766726895,581.112113928,999
189.056665511,172.79024396,46.9675466081,643.481019752,525.390268074,999
613.836321153,179.976571959,43.5502112534,649.460955317,584.940630144,999
634.420411774,168.348238736,38.6964682953,653.083187751,526.121086616,999
673.00599997,172.554248259,39.1729162519,651.087937857,591.191029005,999
897.987333699,165.153013554,41.7642812503,648.233561368,586.039694617,999
167.141653578,167.349972981,43.5778338106,647.393109214,531.703068867,999
101.965124399,170.685681907,35.825291369,648.861664591,526.025989848,999
816.714099121,166.004911118,44.1588253575,654.332580035,550.074496289,999
280.638856782,177.259364869,38.6463937603,642.994814968,520.999566294,999
242.724413525,176.382145775,39.0388456625,652.234836784,576.448634706,999
194.415485218,177.496689665,35.4917601079,646.324122011,588.523664941,999
994.535199616,170.397023925,33.1058759919,647.146629668,582.206357433,999
588.534527414,166.854725982,36.9443385963,646.383367447,521.063272398,999
513.84029469,167.165236409,45.4632170497,656.576385435,530.242546843,999
766.867658925,161.154345538,44.361614636,653.253555195,589.859206102,999
225.441229921,163.839382059,45.3056227902,654.618783585,595.49261378,999
472.474921225,165.902445426,46.3354456873,653.251178842,592.577070006,999
529.345793411,169.128884418,45.2446685423,656.741159505,598.691967948,999
28.4908046024,169.909129779,42.9797852767,649.799913072,517.248196741,999
764.698850381,163.161647867,50.8798349647,648.125794202,564.866297985,999
610.536503269,160.327090135,43.6214412183,649.024361184,528.441065335,999
598.513950479,165.302536178,40.4015702693,649.751145394,529.366214891,999
193.072766381,167.835169296,38.4854635893,642.026484106,586.766562266,999
