@relation db_C10D50
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute dim15 real
@attribute dim16 real
@attribute dim17 real
@attribute dim18 real
@attribute dim19 real
@attribute dim20 real
@attribute dim21 real
@attribute dim22 real
@attribute dim23 real
@attribute dim24 real
@attribute dim25 real
@attribute dim26 real
@attribute dim27 real
@attribute dim28 real
@attribute dim29 real
@attribute dim30 real
@attribute dim31 real
@attribute dim32 real
@attribute dim33 real
@attribute dim34 real
@attribute dim35 real
@attribute dim36 real
@attribute dim37 real
@attribute dim38 real
@attribute dim39 real
@attribute dim40 real
@attribute dim41 real
@attribute dim42 real
@attribute dim43 real
@attribute dim44 real
@attribute dim45 real
@attribute dim46 real
@attribute dim47 real
@attribute dim48 real
@attribute dim49 real
@attribute class {999}
@data
29.9338401179,672.261488137,538.839458819,119.386271304,47.4968386989,128.644493642,743.815848033,441.508269573,947.763100259,26.0824758059,655.191293064,764.117165288,657.158082157,534.504423951,538.26339225,752.875026624,648.497584381,151.539600778,458.522120873,106.240708463,159.460242598,766.648490053,354.182864967,264.518827854,834.69529466,449.137180935,953.576690107,249.280985626,55.2820293492,437.725654487,645.351748512,774.520045554,833.382504774,648.454761824,553.577916835,357.256895207,841.68926236,854.15442731,541.572493589,170.840461133,619.916184725,635.633994646,748.742764842,456.293134628,309.403054132,126.262730701,916.071404199,157.578135551,32.5246485419,259.984953988,999
58.6135444685,672.938625635,538.737142731,145.315350627,402.58307721,144.856219888,916.364374768,436.757868115,969.774178728,27.7760471814,650.811433942,521.401871579,656.241458216,537.759911697,547.279513167,754.158332495,658.373231806,150.620054573,455.463223851,64.9905918322,146.733145858,776.54165822,346.599195678,257.338854696,836.130324285,446.214792121,942.522569214,240.074704345,50.7104959278,437.935965885,647.900041345,755.990023202,846.27733929,652.593796047,532.594813603,360.661523552,381.120686822,844.467596542,545.294763325,621.4611084,377.926602803,624.526724519,794.634242266,442.074451015,193.121572336,121.053754912,936.106568276,138.935033929,295.059178987,258.317585661,999
65.8117918208,685.52901842,543.567874704,137.840802433,260.427788462,139.280392331,444.905620734,438.488439864,976.044593032,45.3554520955,643.669244165,885.069784808,651.446028893,540.809338886,539.719113453,749.009246786,662.062969295,148.295625693,459.989497419,79.4395555116,150.974491302,767.047637158,342.198650283,262.793544923,839.731346381,451.191428404,951.591826734,246.646830494,58.0652643698,437.211200581,632.926964449,745.787476163,843.236709006,651.947950317,546.890737666,372.334931708,546.337829013,852.464112199,552.419803555,905.711826427,662.196427619,615.264418065,906.773823057,432.498374261,55.5244142371,109.020613904,930.970876855,148.594914893,879.598480441,271.607161788,999
71.0746618378,678.902612628,554.527535444,146.166578706,513.443352216,146.01035765,4.49551602442,448.447935317,973.997764862,45.4230913173,646.815136915,68.0092233888,643.254136813,548.710848331,541.982012136,746.795761931,665.144471937,151.118617107,464.967645074,385.17052585,158.090638689,773.505759458,336.883601341,271.138073268,831.345962178,454.360469643,956.887971129,254.134941824,52.5832029095,443.048874078,626.387523181,751.427178192,851.391153861,649.951729466,548.416079189,374.301335776,147.345107202,845.90355706,557.598284811,719.623120122,46.0611460359,607.967985422,307.593034295,441.097143817,882.146553779,104.654720617,932.448358576,157.757319705,23.8983277701,270.828590514,999
57.922487725,651.43909151,531.346948421,134.448455013,587.00611743,137.149066608,688.346423124,438.831582723,926.601655931,57.2863150055,658.03531526,604.462180461,638.544770624,554.363898034,545.762550412,765.97335795,656.038046205,158.81684635,450.788055669,206.143291791,144.505488393,764.642324217,349.464967865,258.466322341,835.573622918,450.223048405,954.836182429,253.643023101,45.7050096851,445.702689817,627.50608242,751.468156395,845.255341325,635.214015346,543.787991375,353.260951937,580.580457293,858.691097816,539.17782426,569.596465094,279.252281207,651.726738616,937.092623929,437.992893651,558.056661224,138.156372034,956.566644049,165.0885257,110.72617257,248.37574463,999
53.2375168221,647.925641602,538.322206696,129.661488199,380.869771245,130.679661941,507.345106113,447.298520006,924.754492271,61.972398205,655.967447786,748.795391378,643.670310903,556.465307402,536.533491822,769.407271832,647.842370133,151.573224026,454.091619629,287.113244493,149.668979637,773.923993806,344.636469178,266.02146367,844.209909074,459.352630574,964.054490368,243.694832448,55.1206714705,450.758780012,631.443870688,744.310963048,837.913266741,640.036285146,546.797493907,352.0679761,371.20703024,865.251571051,547.343645888,563.775454628,515.203512973,650.388890542,346.440263387,446.27309239,824.387409036,138.316114687,954.813703873,165.933178337,307.422286403,249.626407107,999
32.9209010781,650.038024241,532.605141792,150.25422441,61.556067129,153.20497425,877.32742771,452.345363195,951.941789249,29.6672134169,639.506163757,357.139682656,642.266333736,532.207170514,550.495798242,756.670119281,646.672274363,152.217487513,451.588638268,860.284126673,146.402910846,762.349696742,335.173441431,265.868750562,838.786149586,465.372629158,941.540540938,252.400329657,48.5869186953,442.772971845,650.983581434,745.457932415,841.161726689,638.750275581,544.596186269,371.870552491,236.797581813,860.969492235,534.781360247,404.987929872,250.943061622,646.934781875,521.647515589,441.251556197,742.087506562,131.194690912,960.814306995,159.938530986,118.289066164,220.024120635,999
68.2111929164,639.883630245,531.608422449,146.320843481,500.323059055,145.723137299,69.5159778846,445.770221562,939.441396411,65.6121321122,643.986774706,255.557176034,637.715365504,565.983408164,551.07894478,771.577936294,660.546873189,148.88546313,444.796409913,813.83504825,136.815381178,770.269038698,341.659860089,255.657509628,838.252251125,456.603469154,960.33018992,248.96472818,52.6344254958,442.429324827,638.515499987,757.812852191,840.976351198,633.149881889,528.177311422,366.186101899,398.401147978,859.815859041,548.470934251,708.990284431,134.11051436,636.511173902,292.804005541,444.098747505,902.792410371,142.048899257,955.648084186,175.471338409,922.302180262,259.228073593,999
41.4402090453,635.198445163,540.600319299,123.50336947,862.164205107,141.229411446,57.6820664796,447.261033331,941.0761086,65.7020238747,666.916872533,467.506561598,640.467892195,545.115548283,549.474261679,771.582254345,651.110330312,154.616933557,458.828114467,141.495695425,142.060063595,770.006781662,359.39717218,254.535184367,839.792047092,452.649225262,950.667648144,247.920344821,53.4890429883,439.815174274,635.204881161,752.303740362,849.638667925,629.908983966,539.673597756,358.409118275,942.929127825,867.872292252,548.59497392,642.155789515,750.721371453,658.948061042,343.37257625,439.827787163,254.784593157,148.327480521,973.078866748,151.503229903,389.663396252,266.594645438,999
47.7270036291,639.256892026,540.529764557,150.854693607,705.286637451,139.886714666,237.410623221,444.427316947,915.128592612,46.3563121769,649.045375215,421.837605294,643.609726658,567.580220466,551.713159963,774.216281875,649.052009957,157.324195194,457.664071641,826.594372125,153.705314537,772.45031266,342.694369619,263.406848997,832.432603523,444.02214426,949.647596556,258.264031318,43.7439882623,449.826668004,616.636889165,750.040480428,843.182990543,642.965538017,550.86109725,361.278614163,238.210512108,854.560580074,534.719253228,580.010647859,420.595180261,668.04410155,886.069943957,445.831142149,299.609201858,123.875501952,966.162365736,175.791831576,177.332787852,241.818398205,999
37.7912473393,640.930489567,534.711709487,157.803716528,628.109090394,154.421529089,538.826712235,441.150609451,965.422197668,37.8264408479,631.400762735,691.345831686,648.127181291,514.157030774,545.412229526,760.832773335,640.290288551,150.833465968,444.092001533,484.809132714,147.44693462,765.690881049,346.384439014,258.12961698,843.550679518,461.666298293,945.487215853,246.964080514,59.0999901315,435.126823194,663.287891846,750.563944996,846.345195182,627.424023986,559.356941844,365.121194016,88.5815931096,867.398097791,536.21266421,28.250652895,597.996964162,653.424869362,593.044799879,432.030989073,264.685009941,121.511832984,948.986015513,157.711401061,278.439370949,205.781203662,999
74.8376751627,692.591510268,545.385416998,140.392977833,209.289038076,150.757043293,945.128148366,443.284841465,965.60986471,54.2995684149,644.583362382,851.296351737,645.910580408,535.097978935,527.559812725,752.941045513,665.110607174,142.131185135,454.71118408,76.9043810808,157.678900086,770.257093418,348.882900013,260.359711023,846.911776905,455.390238381,959.450439409,248.920824319,52.7332588439,432.900393693,629.267407236,752.796364075,844.840531727,645.23904067,533.741028367,363.044059733,523.366129733,859.757619526,554.949425591,39.2886161174,176.139925556,626.918150617,303.891692144,429.608141916,862.717087629,100.644296236,926.238605822,141.439615514,393.878011335,267.841046746,999
48.5341432214,627.718122116,548.87307676,122.763935319,719.130922272,136.960813523,297.888710353,452.257292991,948.965256884,66.4512011824,671.372889459,232.269069953,650.997396689,539.593739642,540.986949771,779.389177729,648.260378884,157.067519172,451.226511335,775.320430281,150.43013273,763.036744129,351.76330298,261.466303508,836.853443654,463.116002637,946.011593526,255.616190069,48.6305867454,434.238679422,642.164657575,755.660600516,851.973158031,621.268024474,534.851469959,365.183345995,181.367719197,860.290653087,556.06072937,239.944383321,297.518850125,657.991643862,887.841509499,432.570385331,889.675010225,152.736842518,973.660827961,149.530496787,102.773119403,267.337507459,999
20.1464354195,689.692530094,540.721103692,118.775546607,636.624842738,132.752396663,443.470994948,447.091508115,948.963983023,48.3444659121,645.237097346,345.996182777,649.588321384,529.015149515,556.181309023,747.887088674,661.475052586,161.079384269,465.690074382,285.51198227,152.13977126,758.791860073,359.170956498,263.215310358,834.160707992,451.532468804,935.218819754,242.330341312,50.9241689184,452.661361969,670.127331331,750.115136778,846.684553496,653.005698003,550.552471233,366.13928857,545.916404749,837.790293712,551.326793005,848.622977474,598.013112731,652.46099623,125.010789576,450.844625481,243.909812205,135.373095592,917.611497158,135.441170457,754.25731539,242.325131698,999
53.9108364814,669.285786222,547.66565222,133.112311072,171.385170975,141.494567508,734.403641055,438.173370304,959.147699073,14.250333431,642.157842046,649.808836455,657.507985227,546.708036957,541.938458338,749.073003027,658.261397597,153.850165153,446.393325316,231.422993868,149.453888722,767.283640532,349.851043969,248.34212152,831.976018008,440.125901549,947.065223654,233.3326691,58.167375556,444.497259974,661.311134348,749.715513562,837.982631189,655.734374163,544.073642053,370.553682555,184.134106509,838.814332075,539.506060118,154.724399909,873.197232827,638.543911805,951.213653631,438.355988618,526.407979905,129.514379308,930.932865532,151.533946396,958.963356765,260.608956842,999
68.6434773698,674.196445629,535.694497903,135.806023961,789.181125417,131.270855702,898.300003918,445.136833065,964.17409667,36.4289541294,632.764772226,1.10504622263,647.940349934,532.818797617,544.189659336,754.665215162,663.756788699,137.443200331,463.21523557,913.712743756,146.076741594,772.724940686,338.10200813,267.262348308,831.796520882,443.934262534,957.054642182,251.730403603,64.7188461761,445.872949508,621.489160605,755.663333518,838.735416815,644.508253194,557.503313899,377.879631986,558.57529693,856.965904579,556.946680542,719.725180767,287.399574978,621.675048689,15.6209507402,429.44590933,229.773734052,108.109051395,943.069458044,154.545024547,768.732520031,269.028397551,999
66.4474272646,685.602867393,552.358842454,138.531692978,255.779524649,144.119522473,458.224232602,448.451556848,973.973024627,43.9928350826,645.348675852,816.351179903,644.790205844,534.487535428,549.606382033,754.091355752,658.68249401,144.025552509,455.081710549,782.553915884,140.630753778,759.01230941,350.901893555,255.628991227,828.985850248,437.337971696,960.261574388,257.055877047,66.4734771961,445.582775467,632.216339319,736.448713824,844.398995189,645.112324358,543.647015612,374.277830592,777.238988356,860.8627491,562.454060402,793.412931547,571.782657559,610.936015212,303.118685311,427.971675671,669.122218105,107.104675534,929.673836767,145.625112002,972.076796277,271.135930721,999
82.0534203199,622.693307333,536.073136345,137.401551011,833.525087324,152.119222877,485.97422206,438.032619546,949.581213442,81.5144993237,658.188389636,670.29251976,629.876174562,560.403558313,557.399366904,767.424354254,661.607290354,153.956795881,441.326861377,277.701171637,142.770155982,763.909029049,344.72670469,248.536191998,843.26024535,461.613577217,964.437652293,241.819446756,45.7868806922,435.490698056,643.916378551,754.370413211,845.822355965,627.391159648,539.896805636,379.369798968,790.497236054,866.608070692,546.005937251,252.846901624,91.5427336494,650.070131644,828.185873059,437.659948259,657.165038016,127.444910576,938.739721725,166.970606824,39.7170984342,247.177477763,999
36.5516304088,639.951181914,535.075063321,108.347447781,682.993402272,136.282783742,134.667966834,450.436029392,952.208699267,53.8781920451,650.508373505,624.451711087,655.123467887,528.530259558,559.096325127,765.036143596,656.256680612,162.692493173,454.078106132,978.70619067,154.358576432,761.933169384,353.534979871,238.127943191,834.700424577,448.992874465,949.294058685,234.668698007,43.6296328902,451.678708853,667.303174357,753.716438942,858.484307615,656.807812847,577.830451592,361.901929209,282.347833151,853.407338173,541.772281764,287.133910163,343.832115109,649.447089379,981.9762782,462.375247217,299.843751221,144.796776939,961.526909654,175.170575831,678.898856433,241.936453293,999
35.7721727936,690.002548973,541.872950494,122.711596819,449.041619213,123.498101916,279.662732949,450.084019044,937.630835331,37.9049078236,639.620691676,12.7729318793,648.406968917,539.644044154,543.333591004,742.540023639,656.823177423,160.233688156,465.058608183,378.955103271,153.751444836,773.161232995,358.684102137,262.180017486,844.697625091,450.880923578,949.147198317,244.056182701,37.118826805,441.900496467,676.789930497,767.87877759,846.941879151,656.678392142,560.494475793,378.338674018,955.644689708,842.203298807,548.683837898,14.1657542914,544.763979843,660.416902799,908.021304703,463.339789369,382.981169014,130.820539592,905.782616061,121.669390974,81.0638547962,248.118174043,999
79.4056269179,662.516921145,546.361290467,129.128551452,855.133265567,153.154853985,2.04344350513,428.602325285,978.968493129,16.2035592871,659.99599644,715.307008736,663.433852288,524.724518953,541.00477278,743.917534199,660.992640644,152.223259526,462.690948169,718.117935645,154.404061742,782.732850556,342.541541049,253.57126599,832.339238044,444.697987251,949.033783675,247.89936301,46.7222828345,429.53726746,664.601569878,762.412431624,851.128509147,662.583824652,516.647496412,372.782791534,45.6382049553,837.005646239,549.395578157,765.139372353,221.67868903,641.209790663,779.914650389,433.888768877,939.416934253,125.043097369,916.828451043,143.598837238,532.315146669,270.347534274,999
77.7639376059,656.615461795,539.875185821,130.497033826,506.021972905,141.879902833,310.842831693,423.8132554,985.18831907,23.8575117979,669.727931839,502.297040857,667.828721803,520.042414157,546.271419493,749.272134775,668.033708922,143.561156945,467.208987065,462.152293875,158.928830729,787.655823025,335.705939286,258.282880491,840.23280407,449.938704526,954.648288082,246.733902932,38.5261482701,438.347953867,667.778822146,765.989044551,843.190740734,669.656798283,507.55466547,373.155809802,355.411172016,833.550978233,556.131367046,335.850655908,676.069969257,638.755238364,737.179329478,434.728430513,945.813158526,128.360342522,921.268332931,153.516650269,339.51943367,264.340543744,999
45.5817573545,671.369836915,540.644434425,137.643068185,865.761148297,156.391372669,904.787443708,429.882940038,978.217146189,43.3188021267,669.101608727,184.678830243,648.285117604,528.819483485,540.137325369,746.677439373,650.85244645,155.434137105,463.892256053,397.595257971,152.458455785,773.334107896,349.589446412,260.452406626,831.329222534,441.186037847,953.736215045,236.243610608,42.7349558443,437.095941828,632.438811521,762.396247627,842.672641159,651.564284987,549.070831372,359.681011082,828.902067596,850.529029597,549.042345513,613.540252312,368.248777403,609.216714886,954.97890712,452.483888498,634.273510268,103.28588293,951.986783038,148.902500949,359.772585178,252.24061041,999
72.615049408,687.626340612,537.444133072,144.554127264,722.983499594,148.808883383,500.08617918,443.547334817,976.846318826,42.4372245101,650.363644206,30.6309391951,646.816706829,545.610592151,533.598589244,739.578655858,656.199128558,154.114649978,465.3578495,124.55996465,145.723462117,767.989586253,338.58396717,258.383436583,828.247814589,449.117945883,942.250442204,254.969519114,62.1223121304,449.874669036,633.858672226,740.767753907,855.71958895,644.217530818,549.697397029,375.023845851,178.17064449,846.149258421,543.141171791,801.51422992,257.56446256,616.364748581,980.847904832,423.374531917,413.829246043,121.410600458,929.394499073,144.918071292,395.970596969,272.732457604,999
65.5096437641,642.582022189,521.077295424,139.834574225,166.824468695,140.04200047,895.731014551,433.56821227,915.962882257,46.9524621053,653.369871789,724.574567726,646.641696193,547.131353157,549.867257216,777.219622072,657.981924442,159.493923605,456.475096517,442.594639502,152.142967898,770.392167495,355.428516169,262.029215919,840.488783901,441.305979844,964.573357204,248.470862935,39.1886290456,434.210266215,638.956775179,748.149989123,838.064877497,646.403285759,539.792158779,346.048063231,562.593414988,867.046007119,535.102965828,907.637281741,775.176988581,655.162062024,776.822605923,436.124285638,821.347729749,131.96024767,959.963717414,166.251299836,463.310885039,244.514222033,999
42.4677926466,633.905822125,551.837814274,121.056081159,616.413001883,151.906104304,247.428273571,441.602534945,943.188876449,65.1007332086,665.14448107,624.991234507,627.72983805,545.183878646,545.010406142,780.241639473,658.841487269,160.145563726,453.963138659,393.154138405,145.58155533,764.760116678,363.475854,260.410459777,829.054360256,445.185922282,957.729653276,238.396028284,63.6141989818,435.595315281,633.66448075,751.672421567,847.39552077,621.440149339,538.253401945,356.009563585,621.244466021,878.662276466,541.712736011,843.412148573,676.728350255,660.573470694,126.369309624,445.183166792,675.3395962,149.461558021,975.82005015,153.194820797,698.136915867,268.444854288,999
55.4986480873,622.500724492,542.877885731,140.125388881,193.077192129,131.787238222,298.086239307,442.311132814,938.913648394,59.2045962955,660.567361026,610.256707429,642.28020296,551.046781752,540.790933377,773.075743826,644.39060093,148.742246077,451.524706531,594.378691356,152.001229989,767.28856945,351.063089088,247.282519478,829.892367783,447.954072938,955.813858515,237.3665848,63.3782800431,432.697962089,647.789947207,750.812987752,847.137052358,620.351147164,550.79698872,348.716744401,162.280874219,861.451439227,541.162434683,805.111223537,598.466034879,648.014051979,350.603359806,433.293599109,973.699921116,143.147775649,987.823953747,163.086060329,916.289645735,254.588514394,999
35.7092158267,637.88890511,541.183698854,152.083392154,911.262784097,151.935950195,725.064041551,445.165850564,954.940918556,48.0753893252,642.724274026,845.753288145,645.393854735,524.843627959,552.680353464,754.165238056,633.51641133,157.1666958,445.989254642,175.747301094,139.520417402,762.58520206,339.660369706,261.80686538,841.416000329,459.439629752,937.491066299,241.081175838,63.9136672086,426.762246585,669.831286417,742.24006236,851.878466842,624.189016222,554.698451223,370.558559578,920.632798437,870.553752028,545.622456974,773.069236912,381.054683243,642.79484989,319.189774606,432.823402667,205.629779784,109.378359714,959.706237213,149.265316859,682.567751272,213.456112258,999
80.0611512098,653.039827573,521.91193675,128.352829588,624.757822392,137.548114485,949.706299436,439.21158459,953.261427432,73.8374343983,672.807628931,796.38567146,650.264444038,537.89589996,549.441635424,739.275795301,667.6556301,164.706945507,458.617447852,134.400653909,143.195372936,760.557028575,325.749095198,255.509655724,830.762380324,455.329075874,950.273537841,250.397486461,67.5290294293,444.938313781,647.959762343,765.326911881,830.634814501,650.751183787,561.944985518,389.219686553,399.566564583,844.661147472,535.883582815,478.196927286,187.526945108,628.631461241,211.274349702,452.362135618,335.116773755,137.273674835,932.482906271,136.433535579,393.416266021,233.565911065,999
68.5426819043,654.320542436,534.936031491,133.766315486,673.737039517,148.95045761,69.3494780981,432.368537604,931.610002275,35.0424364671,671.978158483,466.737349049,661.309811716,539.251882961,534.370602346,740.119263446,660.319415731,175.08954255,443.963498602,971.155560979,139.953959123,747.279126787,328.775777526,260.560303256,847.335537974,462.581896216,956.659140155,253.364918272,56.9164471673,429.936057226,646.505715878,765.968216798,828.118304204,652.870849326,541.205246089,382.640542145,511.544881069,832.969367954,524.165389026,552.672728969,984.520271624,631.458078915,264.678924441,465.536114688,251.1142574,157.419149973,938.123273316,141.888959829,654.034598222,228.459379054,999
26.4614317684,663.945169974,529.230877541,109.090473173,172.346749264,121.167787093,15.5233054696,439.611468011,953.645781799,34.5012487023,664.767529095,541.181297104,647.65832652,544.557600063,529.53711094,753.46333248,658.662743779,154.66273568,466.419338158,788.341653308,169.972155142,773.784358249,364.022237555,269.017748364,840.959516085,436.020485338,960.43553801,259.211382395,61.0177897976,439.603629296,634.311805703,777.816358236,827.975562715,637.142099984,545.670684282,350.627669415,206.384777491,864.768794493,536.097998954,649.686543855,18.3103354386,623.242340208,73.5100837599,462.674714825,555.388489301,122.098074349,902.294840367,168.03118784,565.285089024,268.836971996,999
49.0503564216,659.014629246,549.671552012,143.671750401,266.762970861,145.704389426,317.729670382,435.972404909,966.186715633,26.74111917,629.913556503,938.208315162,648.475868403,550.18616732,539.42972635,752.121158816,670.844051594,152.491751628,452.251758739,568.619932825,138.783856547,769.87588033,337.742544488,254.264685021,835.310553989,435.183646494,955.808853431,244.097984987,49.9656841474,451.68466614,663.977237315,738.248595521,833.003334192,650.281563248,530.546039018,384.645107391,543.87895614,830.825757632,548.742230083,552.463817025,622.927028046,647.166065069,24.7664794433,446.238966723,992.675684217,115.4057751,936.716262604,158.462114933,786.17359506,272.008103076,999
