@relation D15
@attribute dim0 real
@attribute dim1 real
@attribute dim2 real
@attribute dim3 real
@attribute dim4 real
@attribute dim5 real
@attribute dim6 real
@attribute dim7 real
@attribute dim8 real
@attribute dim9 real
@attribute dim10 real
@attribute dim11 real
@attribute dim12 real
@attribute dim13 real
@attribute dim14 real
@attribute class {999}
@data
850.116226091,365.164557554,258.325221128,933.320548012,727.176569712,640.70130212,39.6945611019,654.86487868,154.264287039,653.743219626,351.01566936,33.5387185371,31.3743591414,989.262065284,508.477942958,999
839.342918682,362.313062345,242.079076261,933.428483715,760.835262318,676.051325554,49.6712861452,676.383738886,148.239910696,668.059579909,342.611688348,865.580537239,35.6863728816,934.172858176,900.773480464,999
497.49759994,359.242359033,267.583792313,937.451276371,738.868231067,632.571322033,45.7822349956,646.108141485,158.810098129,647.800260214,349.307596157,614.78992107,38.8299327462,975.716138201,292.288443688,999
951.461263452,359.348764875,232.682049051,937.427270441,761.861960881,658.433644314,42.0382988574,629.938796336,154.284813493,647.257349294,339.896220516,427.46440891,41.338121284,942.106574274,618.187141919,999
968.12596387,367.182550743,286.13387373,929.884938014,752.760897569,635.935246908,46.640890003,661.006353442,153.033998104,647.188329696,340.45453965,882.576617702,32.7157663184,970.362012616,670.878272365,999
384.951786298,366.895983347,265.965110183,940.118736237,754.261705662,652.786894383,49.2743882333,706.994006942,158.439325314,669.436217087,340.862597751,390.05794854,36.0154180965,981.314534083,673.777242097,999
165.347086239,364.754336508,269.638876224,930.448747267,774.12297301,662.566590926,58.0279286377,676.402655917,164.190907998,650.511062117,354.400118171,626.541807952,35.1335935565,959.72180039,593.941834421,999
756.299026592,364.224810401,249.32755277,929.230993784,761.15652737,639.410814624,43.988031545,641.358419092,145.877737901,642.755383572,353.183032212,174.286274496,47.0234566511,947.869605983,239.669975129,999
206.822382437,361.948445778,249.770741244,934.514360166,775.704198602,637.405596939,52.9009352009,646.965311093,143.653103047,643.140475247,350.864364122,272.465285349,35.3444007458,945.412088263,633.737244531,999
186.913761739,362.455135437,267.061652733,933.974667756,760.999406315,635.718917939,42.3556599288,722.385826524,173.490850122,679.43128072,362.159437022,47.5564185763,46.1177889661,977.571970553,965.953421139,999
435.180514042,351.933528062,269.621743924,928.964842748,764.743451122,648.088407986,52.7422477066,702.50491386,170.219928853,692.887328272,361.129046996,436.376765438,31.0346728204,985.906441626,841.683028891,999
240.342544411,360.07591448,274.572075457,937.079014173,772.682200178,641.394668908,47.3999797066,685.106211607,156.061024413,642.616712971,363.570522745,673.129137348,42.2921967246,959.150174707,384.8036951,999
784.630855959,362.342555069,244.491440147,924.911516551,766.692022194,631.694758782,56.4812503974,634.73806347,146.51380657,637.499905779,356.322978159,901.99836191,42.7331062341,973.657891487,369.449021632,999
485.026842519,372.780136026,250.464200034,927.175022259,756.300424275,654.620775551,37.7946182234,691.584002097,166.238301037,649.084980594,352.015687956,781.334236775,43.4287652207,963.589427176,855.720918162,999
260.025015076,368.398556304,245.702239507,929.478775952,738.933720072,645.78667177,52.1925567918,642.007625682,154.126269974,682.316768195,346.519717521,167.065866126,47.6845884849,965.551511168,346.219150853,999
444.248737553,350.302984558,264.790428623,936.236294533,768.577508098,651.150611758,45.8085256508,721.691307011,173.254602434,680.454773066,350.519193752,499.170321314,33.2781709684,992.862570626,901.019684792,999
191.557365839,359.848055651,244.943004663,950.695557929,758.314859272,614.441709612,41.9797379778,632.175728637,152.631847997,687.788958632,359.21318121,507.682310897,47.6750187217,945.213772187,257.529468645,999
736.218466053,358.455187244,265.041840988,934.571794339,745.977215065,632.159950609,32.7862860739,642.01964112,144.148916439,689.880844162,354.299690538,880.12024103,34.497046304,934.743577391,113.34329083,999
818.747334154,372.071346825,247.989819646,947.705660101,747.894461305,625.04187787,47.2109342355,645.537681109,148.458800698,686.384961886,347.771034349,541.918260273,44.9441029359,932.239999867,641.338884103,999
435.555979284,361.98801635,235.316593238,933.334142747,759.37155471,665.136808404,46.7431407799,660.027720407,147.098744481,663.13489444,341.139446918,216.547326116,47.8474062262,942.041042198,703.142031191,999
698.161842325,354.305300318,260.129687206,938.324966786,759.734678676,644.40964065,44.6848821324,650.482170432,145.510121411,638.715550735,360.232420492,632.540260146,43.1973901716,956.534247203,613.65363793,999
861.157618158,364.69338388,262.112168082,926.737764972,762.375212132,641.766647413,36.8150280185,662.505725784,150.047608331,637.436410898,351.779873476,483.380353046,40.662708066,961.565349465,428.245870588,999
455.250015601,368.487444363,266.687469983,942.97209214,744.409979354,636.396436206,49.2343426805,685.470035567,160.126837829,658.138929085,362.464287413,548.635977445,56.9199269755,923.572895887,119.323044386,999
356.492500608,352.808464442,284.351184297,927.499446875,760.461153289,645.241596629,46.6535922088,679.646385143,167.657292057,641.926027395,350.588936066,997.089356548,30.6661657899,949.535988567,346.885042641,999
603.716658969,375.035378257,254.176995968,922.480140113,765.462363269,642.531867586,41.9352798005,635.480817363,173.053949185,680.618331206,349.477085316,759.374455401,56.717456088,951.004920153,772.346486461,999
865.107572983,366.697923524,238.136015661,928.139564618,744.642696185,644.750067392,53.3990178888,691.720775659,162.73546756,657.659107693,352.526549753,712.553273557,53.8136524323,982.926743851,897.329437782,999
353.37960477,359.774997568,247.437400532,922.533367787,747.643128621,651.724186468,37.1495043777,632.256050287,164.463306711,671.932582155,357.720201084,594.494831059,52.621012493,960.130921766,850.639528556,999
384.607225234,360.983882447,223.665889852,924.726175853,749.912096461,666.982553417,39.2715150031,634.131766473,160.118862725,642.851462392,342.789680705,2.49116416436,26.1086193121,949.749542908,821.728562154,999
819.439539567,348.573082648,263.468399768,935.92289854,760.437013666,649.658947755,42.1248840102,713.602108395,171.923021847,687.279653825,363.477012347,814.623649566,45.0030313481,985.969627835,745.961435498,999
780.602820375,361.199714741,258.243140126,933.303899866,754.626081916,651.562374903,52.2697995547,635.788558498,159.932242917,667.825778728,338.135172358,518.710343147,44.4827820186,981.102723426,586.012531156,999
336.159637584,358.592849265,251.198348641,944.573713702,742.637622801,620.40237901,36.06647773,652.507410488,143.791956719,673.642149994,359.903856932,578.331910141,44.9107939916,933.578104009,7.20899042941,999
160.529634464,365.25209156,297.714942767,935.710456702,778.560290647,629.105039802,39.5262621667,662.968180245,144.76909716,652.418153976,342.323536581,424.782472829,30.9285317377,964.113168049,555.773516731,999
982.494042243,371.153892901,305.446495839,933.264834854,769.236736889,640.110204187,38.155532511,646.364166274,141.741213504,653.490129626,344.383614916,64.2577737905,35.3347482734,961.036152774,778.090057062,999
39.6016571875,365.127639293,299.127068555,937.275961526,781.942242139,642.328788658,50.5270076167,659.897191864,144.167318846,655.436093554,354.865884648,618.720935026,30.612233199,968.883154997,323.248455894,999
522.729943657,372.249367222,269.687107298,930.754011016,735.188034154,635.614427781,37.9335426068,644.593155089,152.531451298,642.59860619,352.817912034,309.11089648,41.1459250336,984.734843751,400.654114398,999
609.008524056,374.987496558,253.517677494,940.123048347,721.065606296,647.623206357,34.6236006589,650.920081371,151.445058882,649.027918124,353.304556558,450.362869336,27.6119643328,994.085287573,596.044855921,999
27.9551361277,360.977304615,254.395009251,938.112262118,734.898825637,644.452759641,41.9147636339,655.433728065,147.27264633,660.335264019,342.797180777,286.259950419,26.3367955967,988.949953177,15.8069636219,999
447.22069297,367.046307602,247.766863955,938.960671151,757.6613508,679.197579474,58.7933072693,668.887172603,153.285181674,658.728586257,349.295362984,17.3334549404,28.8457923123,936.965564678,336.020741783,999
322.320835364,361.583232247,238.661567898,936.305040827,773.014732332,673.581569149,44.7779551655,669.468890052,145.079770118,665.323090148,336.773720785,648.684613469,30.0572932484,927.591926501,241.068900706,999
150.880584517,366.587443084,248.624457432,935.066092191,767.818276101,672.323507741,41.7415893526,683.87082856,157.611990644,683.870829467,336.504158459,239.397107056,40.2741245153,940.174729834,921.319113976,999
510.852741098,356.413200476,262.987697476,937.977192445,765.238984934,639.400851032,59.045119907,669.787492917,150.185871572,635.13003641,363.310035587,392.343366172,54.6137719107,953.410383175,161.235836848,999
539.093754748,370.991757147,252.711116275,937.225690919,753.123181586,664.521162519,52.9785191977,666.693492291,161.412184389,636.922734269,347.737982872,114.521074509,56.2960123376,936.436543962,758.001873352,999
724.413645544,360.427224267,245.36547521,944.762714559,755.947623997,629.591414863,41.0623806065,688.361176708,151.524607468,653.144091804,359.231511742,934.918281959,57.4161296951,935.868660567,515.889900212,999
540.981685762,355.743726797,234.569725471,939.487212241,773.554755983,654.534226715,59.9180775653,683.520236085,168.392719418,656.38706781,356.982043472,277.456361402,44.4930495057,950.280084985,367.077563153,999
870.793429477,360.4281713,277.467576713,930.243187012,758.467555618,647.332132275,57.8501145206,686.614148743,159.274705062,635.516106412,352.545511754,637.844172484,34.4766737091,947.731198163,465.620092853,999
641.470911892,367.897253596,243.140639872,923.58285416,765.226412484,635.07130624,35.6855016306,635.332315023,159.952139312,679.419435456,341.25909841,235.256340727,45.8187256973,952.750982528,331.384749839,999
940.311605998,355.256270002,240.072128233,925.957168474,758.466268757,647.622417001,44.8121707867,700.5982716,166.60302782,661.587180312,341.173743154,132.157105495,43.8750381611,986.069040827,14.9897190883,999
510.458950721,365.309285407,253.012808412,925.804815066,735.996340876,640.096370413,54.7830375027,641.165392203,161.801119087,677.615670304,361.617885602,160.896462999,47.5200256774,956.818183324,637.87755086,999
506.038934575,371.404570495,228.154123664,934.185970199,753.387713966,662.735900111,40.2660607518,634.851183137,160.633996489,641.460613546,343.873691729,166.156521876,28.5317501665,936.676563005,644.103301632,999
78.3330120297,363.723684645,243.637028358,919.37508525,760.002074654,639.393091383,51.0132114349,650.191915381,144.20411064,623.756572212,341.015295072,485.611046273,37.2124956829,964.968906561,580.183443973,999
292.43753045,357.118316847,243.319260572,925.393937613,778.374808057,644.520101454,51.3456396181,706.785321322,173.561062567,696.110457233,361.459711306,566.252555895,45.4809004001,988.074621921,358.921877724,999
280.444427595,347.193590578,244.906703157,936.198558183,754.49844735,674.585412827,37.5391217183,652.045651344,164.267512241,672.102942122,348.260088482,293.604129558,42.102250853,961.306689529,595.999652066,999
952.348732472,371.537805427,268.470308849,936.729251887,722.239486575,644.456469252,51.6236180267,644.685774951,165.088888993,659.846498164,346.094414873,100.00237852,27.7079831585,977.683419348,769.393930991,999
424.59229022,357.833999609,259.623322121,931.225307684,753.146334415,663.120139388,52.8981926463,642.680217677,144.300505992,654.404586326,342.241863906,317.893912638,37.1071891961,985.336096584,78.1965395946,999
679.70284097,369.15103056,291.301574467,937.406656601,771.27133736,629.971718925,34.9054054219,663.936575744,148.890623417,650.339863257,357.70415124,929.585970464,33.2027444547,963.056470978,922.628785314,999
759.922992791,368.537938657,248.879534045,933.853570427,744.683636361,629.53735176,46.4827390084,652.621174888,155.109967734,687.964443855,347.113025123,833.871824873,46.6636137687,942.916331084,288.936348559,999
231.096933128,357.517215959,235.030790975,931.576136278,755.296516495,673.674732614,54.579027705,689.895326374,151.273245873,676.441546604,336.185653744,619.864526415,34.8284195846,918.347459524,287.524710671,999
560.078113034,362.252182656,223.997979386,942.487975633,758.59061357,664.339039159,36.0922563209,637.413515854,161.295589919,649.379379633,344.86272161,304.192935677,42.5838724593,945.358750868,191.451018343,999
932.539288049,353.966370481,229.018056031,945.637108521,775.790021156,665.160979153,47.0522335388,639.756956529,157.157359509,654.1300921,341.262515467,908.796503572,45.3887285263,933.97954385,666.412754453,999
184.10036438,377.166794657,276.137276942,930.595635568,746.307592845,624.370799349,48.7608982319,651.356436057,154.042785152,639.176761563,343.621142135,624.905171333,37.5462635471,977.402905674,312.412882248,999
533.36367628,372.764023286,285.352866442,926.004688052,764.471521993,632.208876845,53.8358057759,665.050034091,161.139748889,642.589517303,333.102544529,981.037999102,36.3291275141,976.275043472,413.323217189,999
227.261136231,370.949554036,290.79209136,930.076490432,745.992688111,641.824922629,54.3967694418,654.985456158,155.288206923,638.110198664,334.845470895,667.675911928,30.4591673392,965.411920246,89.613478145,999
422.315864539,361.959706242,268.193540831,940.693516626,745.170605061,656.047302156,42.8930556897,719.265837171,166.215814721,657.468278165,344.395317671,648.289520344,41.7812677807,973.017643909,805.19960733,999
148.063879008,373.650242951,259.165668267,945.728878085,748.795950253,657.887226411,53.6164009405,716.358084757,162.404159823,657.691807885,338.587510559,976.145424523,37.0631795906,990.2568912,828.37613556,999
641.524683964,372.427089869,262.222930013,943.799941764,757.946783272,644.103075517,44.1680184186,701.800448932,163.516074076,665.622047256,342.895273543,547.303266979,32.2823024389,990.507525964,207.514364803,999
951.140815456,359.961147147,256.655278913,936.273087159,750.574952147,657.577588703,56.4055199522,700.802798559,153.692164165,678.916732681,344.784351906,27.0533307848,44.6500480692,992.092548019,687.106363978,999
738.331944367,371.196691055,254.983733908,945.904938052,751.924541415,662.047837754,54.0880688789,699.340632425,160.167686389,661.660425366,344.624332155,12.3772451878,32.0101940945,993.829446618,108.036254323,999
588.531988253,348.556448845,261.174468308,926.70746107,756.484943826,633.193809844,36.5333231944,680.016699182,159.253210238,633.914974572,360.102752036,99.5113503827,52.1405647095,948.161416022,991.584579451,999
975.036960782,365.231829617,268.721454781,944.551205915,762.97884437,643.169597321,47.123808293,678.214452605,164.012488643,637.861096541,365.639121884,155.450487542,46.3077568957,943.347517086,236.011144021,999
491.069555957,372.431636224,254.355002277,924.321112553,774.960531067,633.498326568,49.7479328277,633.394216378,165.141870425,692.96514207,344.754317069,299.627603688,53.9070828636,971.011233706,439.74996458,999
877.051127052,360.760351553,242.137290767,923.451166044,739.249618735,653.015018423,43.2079905058,691.748541114,161.303984045,661.673987273,353.619612689,494.178388766,51.5186361333,966.905411396,500.114986429,999
690.899310245,355.048002768,242.549960439,915.853689059,746.342376971,653.384131153,49.0342049755,644.94046767,155.764915497,682.588647814,347.634795978,180.154912829,44.6062807047,958.171525309,985.613984706,999
244.04648988,370.911888583,227.69588314,924.67946731,745.511078898,656.261322218,43.4169135142,629.623401108,152.871426323,643.972049598,342.0054061,806.955054667,37.3138111327,933.315068862,974.021009144,999
426.210534432,361.839762765,241.710162843,930.353673818,774.541832852,626.797312582,45.3330098318,625.451038825,146.387808368,637.396046786,340.101114242,962.629062491,32.0044224672,957.627308948,111.322293253,999
572.325381772,350.930521209,246.929033946,940.696948915,778.505652596,647.90618226,41.6752330551,704.16780507,162.125323571,678.763311175,351.002764107,999.497380711,38.2155064762,980.26772581,689.357757489,999
306.8521709,355.807881855,238.754714208,930.671077185,760.964698704,652.727824708,54.0401748588,664.058447971,165.177077921,646.656970827,356.028330608,310.742377374,57.5807971196,955.01812853,396.343215677,999
691.647918276,353.168132003,248.631208259,945.454908799,748.289379797,654.296658638,56.6406777177,671.494747633,170.273427451,656.78287228,353.871360839,787.910547178,39.3386407824,965.440005052,995.909355297,999
389.736456324,364.837103666,264.965415961,944.518044028,751.299264012,648.595412414,51.7155135055,637.707164347,150.914685418,659.81693542,336.039065092,954.327782935,45.0091648525,969.876412754,327.006206813,999
44.024262417,373.307451173,211.741786951,930.007660004,764.533599606,661.262303103,41.449241305,638.558386057,170.96392732,647.463875901,353.318427553,917.357999773,30.8197403043,932.133073245,546.596989537,999
376.157826573,357.677193537,295.551854394,926.227322318,759.934409456,635.730088095,48.1931421071,656.074865283,157.852094529,660.581565145,357.620012519,614.723805847,40.1562143669,969.257487076,587.700746063,999
698.480333328,357.480449445,244.011933754,949.17527132,761.412012526,630.68956286,44.3406889675,637.95375036,146.521902486,671.091179901,359.880848585,113.7942283,33.5669049358,931.219140888,226.453380929,999
797.810728984,362.30112217,243.499104697,932.950671853,756.396774298,667.79137213,40.6609100591,675.15204829,160.429316627,673.769058412,342.255880914,775.9080854,37.102409335,940.623593451,335.942661209,999
994.936241859,354.335848379,263.24865932,935.850042737,772.974625135,643.115251477,39.3919123324,668.300112012,154.379171117,633.801644886,370.130431844,924.192070513,41.0877705016,970.603883419,354.440754309,999
202.206794923,347.281604559,271.042235591,950.076159566,763.746691871,646.634946182,52.693437265,670.959854318,167.532912081,650.690964459,349.533581043,972.156380688,56.2177193657,948.34734932,26.9106217384,999
176.494864096,347.687375696,247.592257704,938.849885397,756.569465113,636.015376007,54.209268162,684.154704001,161.163393378,668.018900022,350.96778844,740.019669823,35.4042680858,972.658641233,377.004678953,999
219.303005601,349.632074694,236.586364126,926.366265461,751.336157319,644.991448919,51.0347571134,652.339223152,159.081913252,661.976105567,335.986375632,19.1390165012,37.2398313027,965.764423305,832.368029266,999
938.746152458,358.294871015,254.686596969,939.127753897,755.153661143,660.961043915,38.7780513178,647.704721488,170.26149667,668.935868618,346.275118023,465.16985292,39.7987265888,946.178955616,613.587814996,999
719.216168,367.81579195,249.295096487,940.710670498,760.976372309,637.276383755,47.5406317368,699.831304541,171.28640616,666.734055748,351.894676772,211.596775327,47.8397991903,971.188915029,181.17968284,999
351.655681466,366.382950891,285.40272802,943.194231398,753.462744883,652.593986652,45.6581057864,644.236407415,159.923446876,658.711231103,348.315970448,184.254041533,31.0277062601,964.321865982,620.397165701,999
770.849800697,352.432073254,275.798696921,941.297750229,764.289571344,637.008936193,55.7913257951,649.889674043,149.416661483,647.019890913,336.578199581,678.526869731,30.6542508144,966.833075786,937.939140592,999
540.628048235,356.489844083,244.703935097,925.447261217,747.591491647,675.007864401,38.9704026347,671.039954871,165.209917965,663.492463275,355.957882388,315.695213106,45.3622594738,935.98052357,314.980668635,999
325.347689757,356.461923851,259.002727627,941.086545882,737.478531894,655.139675677,42.5375840314,658.39091766,164.463117284,663.435399557,354.470718032,986.780674272,29.0130267117,991.876639486,801.557725391,999
